------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:47:32 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3502
capture.afpacket.polls                        | Total                     | 6898
capture.afpacket.poll_timeout                 | Total                     | 5528
capture.afpacket.poll_data                    | Total                     | 1358
decoder.pkts                                  | Total                     | 3496
decoder.bytes                                 | Total                     | 738959
decoder.ipv4                                  | Total                     | 3496
decoder.ethernet                              | Total                     | 3496
decoder.tcp                                   | Total                     | 3496
tcp.syn                                       | Total                     | 242
tcp.synack                                    | Total                     | 242
tcp.rst                                       | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 211
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 256
flow.tcp                                      | Total                     | 256
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
flow.wrk.flows_evicted_needs_work             | Total                     | 19
flow.wrk.flows_evicted_pkt_inject             | Total                     | 20
flow.wrk.flows_injected                       | Total                     | 19
tcp.sessions                                  | Total                     | 242
tcp.ssn_from_pool                             | Total                     | 242
tcp.segment_from_pool                         | Total                     | 1098
app_layer.flow.http                           | Total                     | 242
app_layer.tx.http                             | Total                     | 242
flow.end.state.new                            | Total                     | 14
flow.end.state.established                    | Total                     | 1
flow.end.state.closed                         | Total                     | 241
flow.end.tcp_state.established                | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 241
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 238
flow.mgr.flows_notimeout                      | Total                     | 238
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 237
flow.recycler.queue_avg                       | Total                     | 4
flow.recycler.queue_max                       | Total                     | 212
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1376256
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:48:43 (uptime: 0d, 00h 00m 14s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 632
capture.afpacket.polls                        | Total                     | 745
capture.afpacket.poll_timeout                 | Total                     | 577
capture.afpacket.poll_data                    | Total                     | 168
decoder.pkts                                  | Total                     | 643
decoder.bytes                                 | Total                     | 139085
decoder.ipv4                                  | Total                     | 643
decoder.ethernet                              | Total                     | 643
decoder.tcp                                   | Total                     | 643
tcp.syn                                       | Total                     | 48
tcp.synack                                    | Total                     | 48
decoder.avg_pkt_size                          | Total                     | 216
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 48
flow.total                                    | Total                     | 50
flow.active                                   | Total                     | 50
flow.tcp                                      | Total                     | 50
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 48
tcp.ssn_from_pool                             | Total                     | 48
tcp.segment_from_pool                         | Total                     | 206
app_layer.flow.http                           | Total                     | 45
app_layer.tx.http                             | Total                     | 48
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 11
flow.mgr.flows_notimeout                      | Total                     | 11
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1626112
http.memuse                                   | Total                     | 20602
flow.memuse                                   | Total                     | 7629504
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:48:51 (uptime: 0d, 00h 00m 22s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 705
capture.afpacket.polls                        | Total                     | 2068
capture.afpacket.poll_timeout                 | Total                     | 1632
capture.afpacket.poll_data                    | Total                     | 436
decoder.pkts                                  | Total                     | 1337
decoder.bytes                                 | Total                     | 285864
decoder.ipv4                                  | Total                     | 1337
decoder.ethernet                              | Total                     | 1337
decoder.tcp                                   | Total                     | 1337
tcp.syn                                       | Total                     | 96
tcp.synack                                    | Total                     | 96
decoder.avg_pkt_size                          | Total                     | 213
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 96
flow.total                                    | Total                     | 108
flow.active                                   | Total                     | 108
flow.tcp                                      | Total                     | 108
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 96
tcp.ssn_from_pool                             | Total                     | 96
tcp.segment_from_pool                         | Total                     | 422
app_layer.flow.http                           | Total                     | 92
app_layer.tx.http                             | Total                     | 96
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 64
flow.mgr.flows_notimeout                      | Total                     | 64
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1863680
http.memuse                                   | Total                     | 32660
flow.memuse                                   | Total                     | 7629504
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:48:59 (uptime: 0d, 00h 00m 30s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1394
capture.afpacket.polls                        | Total                     | 2897
capture.afpacket.poll_timeout                 | Total                     | 2436
capture.afpacket.poll_data                    | Total                     | 461
decoder.pkts                                  | Total                     | 1394
decoder.bytes                                 | Total                     | 306704
decoder.ipv4                                  | Total                     | 1394
decoder.ethernet                              | Total                     | 1394
decoder.tcp                                   | Total                     | 1394
tcp.syn                                       | Total                     | 96
tcp.synack                                    | Total                     | 96
decoder.avg_pkt_size                          | Total                     | 220
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 96
flow.total                                    | Total                     | 108
flow.active                                   | Total                     | 108
flow.tcp                                      | Total                     | 108
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 96
tcp.ssn_from_pool                             | Total                     | 96
tcp.segment_from_pool                         | Total                     | 440
app_layer.flow.http                           | Total                     | 96
app_layer.tx.http                             | Total                     | 96
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 102
flow.mgr.flows_notimeout                      | Total                     | 102
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1875968
http.memuse                                   | Total                     | 31728
flow.memuse                                   | Total                     | 7629504
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:49:07 (uptime: 0d, 00h 00m 38s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2104
capture.afpacket.polls                        | Total                     | 4191
capture.afpacket.poll_timeout                 | Total                     | 3394
capture.afpacket.poll_data                    | Total                     | 797
decoder.pkts                                  | Total                     | 2104
decoder.bytes                                 | Total                     | 464785
decoder.ipv4                                  | Total                     | 2104
decoder.ethernet                              | Total                     | 2104
decoder.tcp                                   | Total                     | 2104
tcp.syn                                       | Total                     | 144
tcp.synack                                    | Total                     | 144
decoder.avg_pkt_size                          | Total                     | 220
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 144
flow.total                                    | Total                     | 156
flow.active                                   | Total                     | 156
flow.tcp                                      | Total                     | 156
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 144
tcp.ssn_from_pool                             | Total                     | 144
